TF	M1	M2	M3	M4	M5	M6	M7	M8	M9	M10
En1	-3.7666120623555135	-5.258466937861692	-5.364681963439133	-3.668091859470831	-35908.29622476326	-7.457732789813321	-4.5841654882077	-4.964069223142754	-2.9026579134742634	-4.162826728528812
En2	-3.7666120623555135	-5.258466937861692	-5.364681963439133	-3.6680918594433276	-4.013275059848594	-103740.74381621314	-40391.08785111857	-4.964069223142754	-2.9026579134742634	-4.162826728528812
Eomes	-3.7666120623555135	-5.258466937861692	-5.364681963439133	-3.668091859470831	-4.013275059848594	-6.248865911747968	-4.5841654882077	-4.964069223142754	-2.464939294193517	-57511.31147960366
Epas1	-3.7666120623555135	-5.258466937861692	-5.364681963439133	-3.668091859470831	-4.013275059848594	-7.457732789813321	-4.5841654882077	-4.964069223142754	-2.9026579134742634	-4.162826728528812
Erf	-40246.99510903507	0.12924232125201787	-1.5892288688537914	-2.825326886524441	-0.21378110883173396	-103740.74381621314	-1.014493499344614	-1.0532065743521646	0.2641647891050719	-57511.31147960366
Erg	-3.7666120623555135	-5.258466937861692	-73973.22298941846	-3.668091859470831	-4.013275059848594	-103740.74381621314	-4.5841654882077	-4.964069223142754	-2.9026579134742634	-4.162826728528812
Esrra	-40246.99510903507	-49070.5836083942	-5.013085892934012	-3.668091859470831	-4.013275059848594	-7.457732789813321	-4.5841654882077	-4.964069223142754	-2.9026579134742634	-57511.31147960366
Esrrg	-40246.99510903507	-4.154168972799132	-5.364681963439133	-3.668091859470831	-4.013275059848594	-7.457732789813321	-4.5841654882077	-4.964069223142754	-2.9026579134742634	-57511.31147960366
Esx1	-3.7666120623555135	-5.258466937861692	-5.364681963439133	-38362.016172087155	-35908.29622476326	-7.457732789813321	-4.5841654882077	-75568.90807569148	-2.619270958398798	-4.162826728528812
Ets1	-3.7666120623555135	-5.258466937861692	-73973.22298941846	-3.668091859470831	-4.013275059848594	-103740.74381621314	-4.5841654882077	-4.964069223142754	-2.185524312437172	-57511.31147960366
Ets2	-1.483077637055579	0.598498351521615	-73973.22298941846	-2.8422752099112505	-4.013275059848594	-103740.74381621314	-4.584148912123168	2.291064723095267	1.3433707521060072	-4.162826728528812
Etv1	-40246.99510903507	-5.258466937861692	-73973.22298941846	-38362.016172087155	-4.013275059848594	-5.5383296343738655	1.1117779779758692	-4.964069223142754	0.479737975490911	-4.162826728528812
Etv3	-40246.99510903507	-2.36914013614292	-2.953249169312595	-3.668091859470831	-0.781031139446062	-103740.74381621314	-1.5446338268133228	-75568.90807569148	-22764.023418888097	1.5872822004136027
Etv4	-40246.99510903507	-5.258466937861692	-73973.22298941846	-3.5738873816787	-4.013275059848594	-7.457732789813321	-40391.08785111857	-75568.90807569148	-2.4174247698581457	-4.162826728528812
Etv5	-3.7666120623555135	-5.258466937861692	-5.364681963439133	-3.668091859470831	-4.013275059848594	-7.457732789813321	-4.5841654882077	-75568.90807569148	-0.12796005726198892	-4.162826728528812
Ewsr1	-3.7666120623555135	-4.277596726245403	-73973.22298941846	-1.6293624166811083	-4.013275059848594	-6.011399595114632	-4.5841654882077	-4.964069223142754	-2.9026579134742634	-4.162826728528812
Fli1	-3.7666120623555135	-5.258466937861692	-73973.22298941846	-3.668091859470831	-4.013275059848594	-103740.74381621314	-4.5841654882077	-4.964069223142754	-22764.023418888097	-57511.31147960366
Foxa1	-3.7666120623555135	-5.258466937861692	-5.364681963439133	-3.668091859470831	-4.013275059848594	-7.457732789813321	-4.5841654882077	-75568.90807569148	-2.9026579134742634	-57511.31147960366
Foxa2	-3.7666120623555135	-5.258466937861692	-5.364681963439133	-3.668091859470831	-4.013275059848594	-7.457732789813321	-4.5841654882077	-75568.90807569148	-2.9026579134742634	-57511.31147960366
Foxa3	-3.7666120623555135	-5.258466937861692	-5.364681963439133	-38362.016172087155	-4.013275059848594	-7.457732789813321	-4.5841654882077	-75568.90807569148	-2.9026579134742634	-4.162826728528812
Foxc1	-3.7666120623555135	-49070.5836083942	-73973.22298941846	-3.668091859470831	-4.013275059848594	-2.6537190222460376	-4.5841654882077	-4.964069223142754	-2.9026579134742634	-57511.31147960366
Foxc2	-3.7666120623555135	-49070.5836083942	-73973.22298941846	-3.668091859470831	-4.013275059848594	-0.7424846787236834	-4.5841654882077	-4.964069223142754	-2.9026579134742634	-3.8023651101400837
Foxd1	-3.7666120623555135	-5.258466937859555	-5.364681963439133	-38362.016172087155	-4.013275059848594	-7.457732789813321	-4.5841654882077	-3.1529022882744915	-2.9026579134742634	-4.162826728528812
Foxd2	-3.7666120623555135	-49070.5836083942	-73973.22298941846	-3.2856410344444833	-4.013275059848594	-103740.74381621314	-4.5841654882077	-4.964069223142754	-22764.023418888097	-57511.31147960366
Foxd3	-3.7666120623555135	-49070.5836083942	-5.364681963439133	-3.668091859470831	-4.013275059848594	-103740.74381621314	-4.5841654882077	-4.964069223142754	-2.9026579134742634	-4.162826728528812
Foxg1	-3.7666120623555135	-49070.5836083942	-73973.22298941846	0.011278011926553285	-35908.29622476326	0.3014617410730756	-4.5841654882077	-75568.90807569148	-2.9026579134742634	-4.162826728528812
Foxj1	-40246.99510903507	-5.258466937861692	-5.364681963439133	-3.668091859470831	-4.013275059848594	-7.457732789813321	-4.5841654882077	-4.964069223142754	-2.9026579134742634	-57511.31147960366
Foxj2	-40246.99510903507	-49070.5836083942	-73973.22298941846	-2.598202685475454	-35908.29622476326	-5.938275487913911	0.6441459607751732	-75568.90807569148	-1.2437350192184666	-1.3326756139893718
Foxj3	-40246.99510903507	0.8731032903820894	-73973.22298941846	-2.049113939234698	0.8089086600518749	-4.41006588351299	-0.09241227533677104	-75568.90807569148	-2.695136041387527	-57511.31147960366
Foxk1	-3.7666120623555135	-49070.5836083942	-5.364681963439133	-0.9903356533867564	-4.013275059848594	-7.457732789813321	-4.5841654882077	-4.9601087426024035	-2.9026579134742634	-4.162826728528812
Foxk2	-3.7666120623555135	-49070.5836083942	-5.364681963439133	-38362.016172087155	-4.013275059848594	-7.457732789813321	-4.5841654882077	-4.469389395107833	-2.9026579134742634	-4.162826728528812
Foxl1	-3.7666120623555135	-49070.5836083942	1.3830312604748836	-38362.016172087155	-4.013275059848594	-7.457732789813321	-4.5841654882077	-3.9364152925745164	-2.9026579134742634	-4.162826728528812
Foxo1	-3.235164027445703	-49070.5836083942	-5.364681963439133	-0.19389361831254934	-4.013275059848594	-103740.74381621314	-40391.08785111857	-1.6982638699491737	-2.2648590215879687	-57511.31147960366
Foxo3	-40246.99510903507	-49070.5836083942	-3.5203701731041375	-38362.016172087155	-1.7652865675354126	-5.030345698842979	0.33116478489851636	-75568.90807569148	-1.568261582160507	-1.1572944170342472
Foxo4	-40246.99510903507	-49070.5836083942	-3.2371442028029045	-0.15188463904943225	-1.149758839512656	-0.7268786678991731	-0.13121466018220107	-75568.90807569148	-1.9807832058472645	-57511.31147960366
Foxo6	-40246.99510903507	-49070.5836083942	-5.364681963439133	-3.668091859470831	-4.013275059848594	-7.457732789813321	-4.5841654882077	-75568.90807569148	-2.9026579134742634	-57511.31147960366
Foxp1	-3.7666120623555135	-5.258466937861692	-5.364681963439133	-3.668091859470831	-35908.29622476326	-4.997615845880649	-4.5841654882077	-0.6212244248941214	-22764.023418888097	-4.162826728528812
Foxp2	-3.7666120623555135	-5.258466937861692	-5.364681963439133	-3.668091859470831	-4.013275059848594	-7.457732789813321	-4.5841654882077	-4.964069223142754	-2.9026579134742634	-4.162826728528812
Foxp4	-3.7666120623555135	-5.258466937861692	-5.364681963439133	-3.668091859470831	-35908.29622476326	-7.457732789813321	-4.5841654882077	-4.964069223142754	-2.9026579134742634	-4.162826728528812
Foxs1	-3.7666120623555135	-49070.5836083942	-73973.22298941846	-38362.016172087155	-4.013275059848594	-7.110830038599951	-4.5841654882077	-4.896224986245098	-2.9026579134742634	-4.162826728528812
Gabpa	1.0401971133906847	-49070.5836083942	-73973.22298941846	-0.655377373757605	-4.013275059848594	1.1841103056929645	0.07777308729406979	-0.5264464987633423	-0.09019569196352432	-57511.31147960366
Gata1	-3.7666120623555135	-5.258466937861692	-5.364681963439133	-3.6680917652709373	-2.5579150689917487	-6.573708041644623	-40391.08785111857	-3.0796634721697753	0.5765098428583554	-4.162826728528812
Gata2	-3.7666120623555135	-5.258466937861692	-5.364681963439133	-3.663226268680289	-4.013275059848594	-103740.74381621314	-4.5841654882077	-4.964069223142754	-2.9026579134742634	-4.162826728528812
Gata3	-3.7666120623555135	-5.258466937861692	-5.364681963439133	-3.668091859470831	-4.013275059848594	-103740.74381621314	-4.5841654882077	-4.964069223142754	-2.9026579134742634	-4.162826728528812
Gata4	-3.49601371300823	-5.081484664836209	-5.364681963439133	-3.630139534999762	-4.013275059848594	-7.4577327892698735	-40391.08785111857	-4.964069223142754	-2.9026579134742634	-2.918514136606903
Gata5	-3.7666120623555135	-5.0991575555157835	-5.364681963439133	-3.559813337563825	-4.013275059848594	-7.457732749272978	-40391.08785111857	-4.964069223142754	-2.9026579134742634	-2.8424544556344427
Gata6	-3.7666120623555135	-5.258466937861692	-5.364681963439133	-3.667873812452659	-4.013275059848594	-7.457732789813321	-40391.08785111857	-4.964069223142754	-2.9026579134742634	-57511.31147960366
Gbx1	-40246.99510903507	-5.258466937861692	-5.364681963439133	-3.668091859470831	-4.013275059848594	-7.457732789813321	-4.5841654882077	-4.964069223142754	-2.9026579134742634	-4.162826728528812
Gbx2	-3.7666120623555135	-5.258466937861692	-5.364681963439133	-3.668091859470831	-4.013275059848594	-7.457732789813321	-4.5841654882077	-4.964069223142754	-2.9026579134742634	-4.162826728528812
Gcm2	-3.7666120623555135	-5.258466937861692	-5.364681963439133	-3.668091859470831	-35908.29622476326	-7.457732789813321	-4.5841654882077	-4.964069223142754	-2.9026579134742634	-3.6243496743819117
Gli1	-3.7666120623555135	-5.258466937861692	-5.364681963439133	-3.668091859470831	-4.013275059848594	-7.457732789813321	-4.5841654882077	-4.964069223142754	-2.9026579134742634	-4.162826728528812
Gli2	-3.7666120623555135	-5.258466937861692	-5.364681963439133	-3.668091859470831	-4.013275059848594	-7.457732789813321	-4.5841654882077	-4.964069223142754	-2.9026579134742634	-4.162826728528812
Gli3	-3.7666120623555135	-5.258466937861692	-5.364681963439133	-3.668091859470831	-4.013275059848594	-7.457732789813321	-4.5841654882077	-4.964069223142754	-2.9026579134742634	-4.162826728528812
Glis2	-3.7666120623555135	-5.258466937861692	-5.364681963439133	-3.668091859470831	-4.013275059848594	-7.457732789813321	-4.5841654882077	-4.964069223142754	-2.9026579134742634	-4.162826728528812
Gmeb1	-3.7666120623555135	-5.258466937861692	-73973.22298941846	-0.716588276033429	-4.013275059848594	-7.457732789813321	-4.5841654882077	-4.964069223142754	-22764.023418888097	-57511.31147960366
Grhl1	-3.7666120623555135	-49070.5836083942	-4.710526527487135	-3.668091859470831	-35908.29622476326	-7.457732789813321	-4.5841654882077	-75568.90807569148	-1.926193411396317	-3.4343941120967343
Grhl2	-3.7666120623555135	-5.258466937861692	-4.521664524630609	-3.668091859470831	-4.013275059848594	-7.457732789813321	-4.5841654882077	-75568.90807569148	-2.9026579134742634	-2.9728216215359864
Gsx2	-3.7666120623555135	-5.258466937861692	-5.364681963439133	-38362.016172087155	-4.013275059848594	-7.457732789813321	-4.5841654882077	-75568.90807569148	-2.9026579134742634	-4.162826728528812
Gtf2i	-3.7666120623555135	-5.258466937861692	-2.7154882750401312	-3.668091859470831	-4.013275059848594	-7.457732789813321	-4.5841654882077	-4.964069223142754	-22764.023418888097	-4.162826728528812
Hdac2	-3.7666120623555135	-49070.5836083942	-5.364681963439133	-3.668091859470831	-35908.29622476326	-7.457732789813321	-4.5841654882077	-4.964069223142754	-2.9026579134742634	-4.162826728528812
Hes7	-3.7666120623555135	-49070.5836083942	-73973.22298941846	-3.6468180780848023	-35908.29622476326	-7.457732789813321	-4.5841654882077	-75568.90807569148	1.607714364142698	-2.6849525871919036
Hesx1	-3.7666120623555135	-5.258466937861692	-5.364681963439133	-3.668091859470831	-4.013275059848594	-7.457732789813321	-4.5841654882077	-4.964069223142754	-2.9026579134742634	-4.162826728528812
Hif1a	-3.7666120623555135	-5.258466937861692	-5.364681963439133	-3.668091859470831	-4.013275059848594	-7.457732789813321	-4.5841654882077	-4.964069223142754	-2.9026579134742634	-4.162826728528812
Hlf	-3.7666120623555135	-5.258466937861692	-5.364681963439133	-3.668091859470831	-4.013275059848594	-7.457732789813321	-4.5841654882077	-4.964069223142754	-2.9026579134742634	-4.162826728528812
Hlx	-3.7666120623555135	-5.258466937861692	-3.0781468058771377	-3.668091859470831	-4.013275059848594	-7.457732789813321	-4.5841654882077	-4.964069223142754	-22764.023418888097	-4.162826728528812
Hnf1b	-40246.99510903507	-5.258466937861692	-5.326687897355964	-3.668091859470831	-4.013275059848594	-7.457732789813321	-4.5841654882077	-0.8881833160032927	-2.9026579134742634	-57511.31147960366
Homez	-3.7666120623555135	-5.258466937861692	-5.364681963439133	-2.221073195077922	-35908.29622476326	-7.457732789813321	-4.5841654882077	-4.964069223142754	-2.9026579134742634	-57511.31147960366
Hoxa1	-3.7572895208250636	-49070.5836083942	-73973.22298941846	-38362.016172087155	-4.013275059848594	-103740.74381621314	-40391.08785111857	0.5493922142207223	-2.9026579134742634	-4.162826728528812
Hoxa13	-3.7666120623555135	-5.258466937861692	-5.364681963439133	-38362.016172087155	-35908.29622476326	-103740.74381621314	-40391.08785111857	-4.964069223142754	-2.9026579134742634	-4.162826728528812
Hoxa2	-3.7666120623555135	-49070.5836083942	-73973.22298941846	-38362.016172087155	-4.013275059848594	-103740.74381621314	1.1817277123054093	-4.964069223142754	-2.13370340435849	-4.162826728528812
Hoxa3	-3.7006735365884347	-49070.5836083942	0.8162181281609407	-38362.016172087155	-4.013275059848594	-103740.74381621314	-40391.08785111857	-4.964069223142754	-2.9026579134742634	-3.633981132307478
Hoxa4	-3.7145849925309538	-49070.5836083942	-73973.22298941846	-38362.016172087155	-4.013275059848594	-103740.74381621314	-40391.08785111857	-4.964069223142754	-2.9026579134742634	-3.671373685288321
Hoxa5	-3.7666120623555135	-49070.5836083942	-5.364681963439133	-38362.016172087155	-4.013275059848594	-103740.74381621314	-40391.08785111857	-4.964069223142754	-2.9026579134742634	-3.5104245746733604
Hoxa6	-3.7666120623555135	-49070.5836083942	-73973.22298941846	-38362.016172087155	-35908.29622476326	-2.739845215560424	-4.5841654882077	-4.774840267452721	-2.9026579134742634	-4.162826728528812
Hoxa7	-3.7666120623555135	-5.2584669378557525	-73973.22298941846	-38362.016172087155	-4.013275059848594	-103740.74381621314	-40391.08785111857	-4.964069223142754	-1.4312208303230562	-3.321338863777516
Hoxa9	-3.7666120623555135	-5.208694624871187	-73973.22298941846	-3.256270374481756	-4.013275059848594	-103740.74381621314	-40391.08785111857	0.5604013887738525	-2.9026579134742634	-4.162826728528812
Hoxb2	0.4427400813999916	-49070.5836083942	-73973.22298941846	-38362.016172087155	-4.013275059848594	-0.09002309679879175	-40391.08785111857	-4.964069223142754	-2.9026579134742634	-4.162826728528812
